Kodlista,From.1,Tom.1
lätt1,2012,
lätt1,2012,
lätt1,2012,
lätt1,2012,
lätt1,2012,
lätt1,2012,
lätt1_1,2014,
lätt1_1,2014,
lätt1_1,2014,
lätt1_1,2014,
lätt1_1,2014,
lätt1_1,2014,
lätt1_1,2014,
lätt1,2016,
lätt1,2016,
lätt1,2016,
lätt1,2016,
lätt1,2016,
lätt1,2016,
lätt1_1,2018,
lätt1_1,2018,
lätt1_1,2018,
lätt1_1,2018,
lätt1_1,2018,
lätt1_1,2018,
lätt1_1,2018,
storlek1,2006,
storlek1,2006,
storlek1,2006,
storlek1,2006,
storlek1,2006,
storlek1,2006,
storlek1,2006,
varjedag3,2006,
varjedag3,2006,
varjedag3,2006,
varjedag3,2006,
varjedag3,2006,
varjedag3,2006,
varjedag3,2006,
varjedag3,2006,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
janej1,2010,
janej1,2010,
janej1,2010,
janej2,2012,
janej2,2012,
janej2,2012,
janej2,2012,
janej2,2012,
janej2,2014,
janej2,2014,
janej2,2014,
janej2,2014,
janej2,2014,
janej2,2016,
janej2,2016,
janej2,2016,
janej2,2016,
janej2,2016,
janej2_1,2018,
janej2_1,2016,
janej2_1,2016,
janej2_1,2016,
janej2_1,2016,
janej2_1,2016,
varjedag3,2006,
varjedag3,2006,
varjedag3,2006,
varjedag3,2006,
varjedag3,2006,
varjedag3,2006,
varjedag3,2006,
varjedag3,2006,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
varjedag4,2008,
janej1,2010,
janej1,2010,
janej1,2010,
janej2,2012,
janej2,2012,
janej2,2012,
janej2,2012,
janej2,2012,
janej2,2014,
janej2,2014,
janej2,2014,
janej2,2014,
janej2,2014,
janej2,2016,
janej2,2016,
janej2,2016,
janej2,2016,
janej2,2016,
janej2,2018,
janej2,2018,
janej2,2018,
janej2,2018,
janej2,2018,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2006,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
alltid1,2008,
instämmer1,2006,
instämmer1,2006,
instämmer1,2006,
instämmer1,2006,
instämmer1,2006,
instämmer1,2006,
stämmer1,2010,
stämmer1,2010,
stämmer1,2010,
stämmer1,2010,
stämmer1,2010,
stämmer1,2012,
stämmer1,2012,
stämmer1,2012,
stämmer1,2012,
stämmer1,2012,
stämmer1,2014,
stämmer1,2014,
stämmer1,2014,
stämmer1,2014,
stämmer1,2014,
stämmer1,2016,
stämmer1,2016,
stämmer1,2016,
stämmer1,2016,
stämmer1,2016,
stämmer1_1,2018,
stämmer1_1,2018,
stämmer1_1,2018,
stämmer1_1,2018,
stämmer1_1,2018,
stämmer1_1,2018,
instämmer1,2006,
instämmer1,2006,
instämmer1,2006,
instämmer1,2006,
instämmer1,2006,
instämmer1,2006,
stämmer1,2010,
stämmer1,2010,
stämmer1,2010,
stämmer1,2010,
stämmer1,2010,
stämmer1,2012,
stämmer1,2012,
stämmer1,2012,
stämmer1,2012,
stämmer1,2012,
stämmer1,2014,
stämmer1,2014,
stämmer1,2014,
stämmer1,2014,
stämmer1,2014,
stämmer1,2016,
stämmer1,2016,
stämmer1,2016,
stämmer1,2016,
stämmer1,2016,
stämmer1_1,2018,
stämmer1_1,2018,
stämmer1_1,2018,
stämmer1_1,2018,
stämmer1_1,2018,
stämmer1_1,2018,
instämmer1,2006,
instämmer1,2006,
instämmer1,2006,
instämmer1,2006,
instämmer1,2006,
instämmer1,2006,
stämmer1,2010,
stämmer1,2010,
stämmer1,2010,
stämmer1,2010,
stämmer1,2010,
stämmer1,2012,
stämmer1,2012,
stämmer1,2012,
stämmer1,2012,
stämmer1,2012,
stämmer1_1,2014,
stämmer1_1,2014,
stämmer1_1,2014,
